iter	RMSE
0	3.6151309
1	3.528289071
2	3.44553417
3	3.366602675
4	3.289765012
5	3.214864566
6	3.144986026
7	3.078097573
8	3.01350031
9	2.951794464
10	2.892313971
11	2.833881113
12	2.777429427
13	2.722766723
14	2.671938738
15	2.623710326
16	2.577591682
17	2.532545941
18	2.487916658
19	2.446547735
20	2.404706777
21	2.364929397
22	2.328910634
23	2.295875603
24	2.260425176
25	2.226874705
26	2.196327329
27	2.165568426
28	2.135029931
29	2.105507972
30	2.078578672
31	2.052648402
32	2.028978948
33	2.004292803
34	1.981960297
35	1.958104228
36	1.937812241
37	1.915783398
38	1.895099569
39	1.875800462
40	1.857611994
41	1.8392765
42	1.821408154
43	1.804573253
44	1.788267849
45	1.773189569
46	1.757933023
47	1.742991264
48	1.72933989
49	1.715483541
50	1.70173536
51	1.688844157
52	1.676856543
53	1.664740132
54	1.653132448
55	1.642398255
56	1.631083769
57	1.620562991
58	1.609933469
59	1.599807349
60	1.589935101
61	1.581191734
62	1.572796438
63	1.563768684
64	1.555334229
65	1.546739923
66	1.538257906
67	1.530352346
68	1.522832513
69	1.515393469
70	1.508720062
71	1.502554046
72	1.495448627
73	1.488707272
74	1.482245825
75	1.476237261
76	1.469861101
77	1.463831349
78	1.458257151
79	1.452577488
80	1.447299139
81	1.441899917
82	1.436795198
83	1.43174346
84	1.426904326
85	1.422343162
86	1.418128082
87	1.413434799
88	1.408978716
89	1.404208561
90	1.399895015
91	1.395192702
92	1.391315272
93	1.387411554
94	1.383062252
95	1.379384091
96	1.375275728
97	1.371025277
98	1.367246965
99	1.363310251
100	1.359714743
101	1.356797963
102	1.353719784
103	1.350787078
104	1.347164655
105	1.343528391
106	1.340236119
107	1.337654282
108	1.335079072
109	1.331989439
110	1.328846918
111	1.325987959
112	1.323655226
113	1.320925278
114	1.318560945
115	1.315488909
116	1.313289914
117	1.310572472
118	1.307680715
119	1.305125627
120	1.303178054
121	1.300518488
122	1.298444938
123	1.295863791
124	1.293340682
125	1.291377135
126	1.289110693
127	1.286063321
128	1.283936484
129	1.282032147
130	1.279945505
131	1.277854205
132	1.275009596
133	1.273332639
134	1.271201513
135	1.269153359
