iter	Passed	Remaining
0	99	59799
1	166	49758
2	234	46724
3	300	44765
4	367	43756
5	437	43321
6	503	42659
7	565	41827
8	631	41489
9	697	41126
10	762	40810
11	832	40792
12	898	40585
13	967	40499
14	1036	40420
15	1121	40950
16	1208	41438
17	1293	41807
18	1413	43228
19	1504	43625
20	1590	43848
21	1680	44159
22	1791	44947
23	1914	45957
24	2013	46311
25	2096	46274
26	2176	46180
27	2247	45909
28	2322	45721
29	2398	45573
30	2466	45278
31	2551	45292
32	2624	45091
33	2697	44906
34	2769	44708
35	2838	44470
36	2908	44250
37	2982	44103
38	3054	43930
39	3126	43774
40	3197	43600
41	3270	43445
42	3329	43124
43	3390	42849
44	3472	42833
45	3548	42741
46	3619	42581
47	3681	42336
48	3753	42202
49	3818	42005
50	3882	41795
51	3945	41582
52	4003	41319
53	4060	41051
54	4124	40870
55	4185	40656
56	4241	40403
57	4300	40189
58	4354	39927
59	4413	39717
60	4475	39544
61	4540	39399
62	4602	39231
63	4669	39104
64	4724	38886
65	4784	38710
66	4841	38513
67	4896	38304
68	4950	38098
69	5006	37908
70	5069	37768
71	5131	37627
72	5185	37435
73	5241	37259
74	5301	37113
75	5363	36979
76	5417	36798
77	5479	36667
78	5544	36566
79	5602	36418
80	5659	36261
81	5717	36116
82	5772	35955
83	5832	35826
84	5894	35713
85	5954	35591
86	6008	35432
87	6065	35292
88	6122	35150
89	6180	35020
90	6239	34898
91	6298	34777
92	6358	34665
93	6421	34569
94	6479	34442
95	6539	34330
96	6599	34222
97	6654	34087
98	6708	33947
99	6758	33791
100	6815	33670
101	6878	33584
102	6933	33457
103	6991	33344
104	7042	33199
105	7099	33084
106	7156	32975
107	7212	32855
108	7269	32747
109	7324	32627
110	7378	32504
111	7432	32383
112	7490	32282
113	7547	32177
114	7601	32058
115	7662	31973
116	7714	31846
117	7765	31719
118	7823	31623
119	7880	31520
120	7940	31432
121	7994	31324
122	8050	31218
123	8101	31100
124	8161	31013
125	8218	30915
126	8272	30809
127	8329	30715
128	8384	30613
129	8442	30522
130	8499	30428
131	8553	30327
132	8608	30225
133	8657	30106
134	8709	30000
135	8761	29891
136	8820	29808
137	8874	29710
138	8928	29610
139	8979	29505
140	9035	29414
141	9092	29325
142	9151	29247
143	9204	29146
144	9261	29061
145	9308	28945
146	9360	28845
147	9414	28751
148	9463	28643
149	9517	28552
150	9567	28449
151	9628	28379
152	9680	28282
153	9737	28201
154	9800	28135
155	9849	28032
156	9908	27958
157	9955	27849
158	10014	27775
159	10067	27685
160	10128	27616
161	10182	27531
162	10240	27454
163	10293	27364
164	10350	27288
165	10403	27199
166	10463	27130
167	10518	27046
168	10582	26988
169	10640	26914
170	10703	26851
171	10758	26771
172	10811	26684
173	10857	26582
174	10913	26503
175	10964	26415
176	11016	26328
177	11077	26262
178	11128	26174
179	11181	26089
180	11245	26031
181	11300	25953
182	11359	25885
183	11411	25800
184	11474	25739
185	11530	25664
186	11581	25578
187	11630	25488
